stazione,data,Sb,Sb_flag,As,As_flag,Cd,Cd_flag,Cr,Cr_flag,Fe,Fe_flag,Mn,Mn_flag,Hg,Hg_flag,Ni,Ni_flag,Pb,Pb_flag,Cu,Cu_flag,Se,Se_flag,Tl,Tl_flag,V,V_flag,Zn,Zn_flag
foscolo,29/01/2021,30.2,0,1.7,0,27.7,0,18.8,0,658.7,0,24.4,0,0.1,1,5,0,84,0,23.7,0,27.1,0,0.5,1,3.1,0,149.5,0
foscolo,30/01/2021,16.3,0,0.5,1,1.1,0,17.8,0,520.3,0,19.3,0,0.1,1,4.6,0,39.3,0,16.9,0,1.1,0,0.5,1,2.7,0,117.9,0
foscolo,31/01/2021,1.9,0,0.5,1,0.1,1,12.3,0,76.2,0,3.4,0,0.1,1,3.2,0,2.8,0,3.3,0,0.5,1,0.5,1,2.2,0,29.3,0
foscolo,01/02/2021,10,0,0.5,1,6.9,0,11.2,0,100.5,0,3.8,0,0.1,1,1.9,0,2.6,0,3.7,0,1.2,0,0.5,1,1.9,0,40.1,0
foscolo,02/02/2021,7.6,0,1.4,0,0.6,0,15.9,0,290.9,0,11.4,0,0.1,1,2.8,0,18.4,0,11.3,0,1.4,0,0.5,1,2.4,0,78.4,0
foscolo,03/02/2021,7.6,0,3.8,0,1.4,0,19.7,0,381.4,0,13.6,0,0.1,1,3.4,0,24,0,14,0,0.5,1,0.5,1,2.4,0,85.4,0
foscolo,04/02/2021,9.7,0,1.2,0,19,0,16.4,0,256.1,0,12.4,0,0.1,1,5.8,0,12,0,12.7,0,7.7,0,0.5,1,2.4,0,104.6,0
foscolo,05/02/2021,5.3,0,3.6,0,0.8,0,14.1,0,328.3,0,13.5,0,0.1,1,3.8,0,11.8,0,12.5,0,0.5,1,0.5,1,2.5,0,69.9,0
foscolo,06/02/2021,7.6,0,0.5,1,3.9,0,13.7,0,251.1,0,10.8,0,0.1,1,3.4,0,11.8,0,10.7,0,1.4,0,0.5,1,2.4,0,88.8,0
foscolo,07/02/2021,3.2,0,0.5,1,2,0,12.3,0,354.2,0,8.2,0,0.1,1,2.6,0,48.1,0,4.7,0,1.2,0,0.5,1,3.4,0,39.6,0
foscolo,08/02/2021,17,0,0.5,1,0.9,0,13.3,0,162.2,0,5.3,0,0.1,1,2.5,0,6.6,0,3.8,0,1.1,0,0.5,1,2.6,0,136.5,0
foscolo,09/02/2021,4.7,0,0.5,1,4,0,12.5,0,143.6,0,6.6,0,0.1,1,2.2,0,7.6,0,5.8,0,1.4,0,0.5,1,2.1,0,46.1,0
foscolo,10/02/2021,5,0,0.5,1,1.3,0,12.8,0,134.9,0,4.7,0,0.1,1,2.4,0,9.2,0,4.4,0,0.5,1,0.5,1,2.1,0,36.6,0
foscolo,11/02/2021,3,0,0.5,1,0.2,0,10.6,0,100.6,0,4.3,0,0.1,1,1.8,0,4.5,0,4.1,0,0.5,1,0.5,1,1.9,0,29.4,0
foscolo,12/02/2021,3.6,0,0.5,1,0.4,0,10.5,0,96.3,0,4.1,0,0.1,1,1.6,0,2.2,0,2.8,0,0.5,1,0.5,1,2,0,22.9,0
foscolo,13/02/2021,1,0,0.5,1,0.1,1,10.6,0,114.7,0,5.4,0,0.1,1,1.6,0,1.8,0,2.8,0,0.5,1,0.5,1,2.1,0,17.8,0
foscolo,14/02/2021,4.4,0,0.5,1,0.4,0,11.3,0,115.7,0,4.6,0,0.1,1,1.8,0,5.9,0,5.7,0,2,0,0.5,1,1.8,0,33.9,0
foscolo,15/02/2021,10.2,0,0.5,1,0.6,0,11.8,0,200,0,8.1,0,0.1,1,2.1,0,8,0,7.4,0,0.5,1,0.5,1,2.1,0,54.3,0
foscolo,16/02/2021,8.6,0,0.5,1,0.7,0,13.2,0,268.1,0,11.8,0,0.1,1,2.8,0,8.3,0,8.9,0,0.5,1,0.5,1,3.3,0,61.8,0
foscolo,17/02/2021,6.1,0,0.5,1,0.7,0,17.3,0,427.6,0,18.1,0,0.1,1,5,0,11.9,0,13.4,0,1.3,0,0.5,1,3.4,0,89.1,0
foscolo,18/02/2021,9,0,1.4,0,0.9,0,18.8,0,384.7,0,17.6,0,0.1,1,4.7,0,12,0,12.5,0,0.5,1,0.5,1,2.9,0,77.9,0
foscolo,19/02/2021,9.9,0,1.4,0,4.2,0,18.2,0,355.4,0,14.1,0,0.1,1,3.8,0,10.9,0,11.8,0,1.7,0,0.5,1,2.8,0,65.8,0
foscolo,20/02/2021,7.4,0,1,0,1.1,0,8.6,0,406.1,0,17.3,0,0.1,1,3.6,0,13.2,0,13.5,0,1.3,0,0.5,1,3.2,0,89.1,0
foscolo,21/02/2021,8,0,1.1,0,0.4,0,7.6,0,266.1,0,10.2,0,0.1,1,3.6,0,8.7,0,9,0,1,0,0.5,1,3.3,0,76.9,0
foscolo,22/02/2021,5.3,0,0.5,1,0.4,0,14.4,0,139.3,0,4.9,0,0.1,1,3.7,0,11.1,0,4.9,0,0.5,1,0.5,1,3.7,0,39.6,0
foscolo,23/02/2021,22.3,0,1.1,0,1.6,0,16.1,0,171.3,0,7,0,0.1,1,3.8,0,56.4,0,6.4,0,3.1,0,0.5,1,3.4,0,76.6,0
foscolo,24/02/2021,38.8,0,1.9,0,124.5,0,29,0,1783.3,0,52.8,0,0.1,1,6.7,0,65.4,0,30.9,0,12.5,0,0.5,1,5.8,0,198.9,0
foscolo,25/02/2021,32.8,0,1.8,0,78.2,0,26.7,0,2465.4,0,60.6,0,0.1,1,6.4,0,17,0,17.3,0,25.1,0,0.5,1,8.1,0,186.5,0
foscolo,26/02/2021,17.8,0,2.4,0,8.2,0,24.3,0,2015.1,0,46.9,0,0.1,1,7.4,0,13.7,0,17.8,0,18.9,0,0.5,1,9.7,0,114.1,0
foscolo,27/02/2021,5,0,1.3,0,0.8,0,17.8,0,1159.7,0,26.6,0,0.1,1,4.3,0,7,0,11.2,0,1.3,0,0.5,1,6.1,0,55.4,0
foscolo,28/02/2021,2.7,0,0.5,1,0.3,0,14.2,0,191.6,0,5.6,0,0.1,1,2.2,0,6.2,0,7.4,0,0.5,1,0.5,1,2.7,0,30.2,0
foscolo,01/03/2021,9.5,0,1.1,0,146.3,0,16.6,0,435.6,0,14.3,0,0.1,1,3.7,0,28.4,0,13.3,0,59.1,0,0.5,1,4.5,0,108,0
foscolo,02/03/2021,9.8,0,1.3,0,8,0,15.2,0,333.6,0,11.3,0,0.1,1,2.8,0,24,0,6.8,0,14.7,0,0.5,1,3.3,0,74.7,0
foscolo,03/03/2021,58.7,0,2.6,0,32.7,0,17,0,633.1,0,19.6,0,0.1,1,4.4,0,44.3,0,14.5,0,42.7,0,0.5,1,3.9,0,206.3,0
foscolo,04/03/2021,25.2,0,1.3,0,6.3,0,16.6,0,450.5,0,16.3,0,0.1,1,3.8,0,13.7,0,12.4,0,14.5,0,0.5,1,4.1,0,132.2,0
foscolo,05/03/2021,9.1,0,1.4,0,3.5,0,18.1,0,495.7,0,14.2,0,0.1,1,8.4,0,11.9,0,10.7,0,2,0,0.5,1,4.5,0,84.3,0
foscolo,06/03/2021,1.1,0,0.5,1,0.1,1,13.7,0,114.1,0,4.9,0,0.1,1,2.7,0,2,0,2.2,0,0.5,1,0.5,1,2.7,0,18.6,0
foscolo,07/03/2021,7.7,0,0.5,1,2.7,0,14,0,124,0,5.1,0,0.1,1,2.2,0,646.2,0,3.9,0,1.3,0,0.5,1,2.7,0,60.1,0
foscolo,08/03/2021,7.5,0,1.7,0,2.8,0,15.3,0,313.4,0,9.3,0,0.1,1,2.6,0,488.4,0,6.8,0,1.6,0,0.5,1,3.2,0,74.4,0
