data,recettore,stima,valore
2017-10-12,marco,calpuff,0.3490946
2017-10-12,serenella,calpuff,0.2838022
2017-10-12,foscolo,misura,484.9
2017-10-12,marco,misura,13.7
2017-10-12,serenella,misura,17.8
2017-10-13,foscolo,calpuff,0.4643285
2017-10-13,marco,calpuff,0.2340861
2017-10-13,serenella,calpuff,0.1469871
2017-10-13,foscolo,misura,583.3
2017-10-13,marco,misura,82.9
2017-10-13,serenella,misura,77.7
2017-10-14,foscolo,calpuff,0.5246294
2017-10-14,marco,calpuff,0.2386774
2017-10-14,serenella,calpuff,0.0487496
2017-10-14,foscolo,misura,29.6
2017-10-14,marco,misura,7.7
2017-10-14,serenella,misura,4.1
2017-10-15,foscolo,calpuff,0.204436
2017-10-15,marco,calpuff,0.2018836
2017-10-15,serenella,calpuff,0.128005
2017-10-15,foscolo,misura,33.2
2017-10-15,marco,misura,2.1
2017-10-15,serenella,misura,1.1
2017-10-16,foscolo,calpuff,0.6731122
2017-10-16,marco,calpuff,0.4977314
2017-10-16,serenella,calpuff,0.1836127
2017-10-16,foscolo,misura,1094.3
2017-10-16,marco,misura,145.3
2017-10-16,serenella,misura,43.3
2017-10-17,foscolo,calpuff,0.3824811
2017-10-17,marco,calpuff,0.2323468
2017-10-17,serenella,calpuff,0.4844272
2017-10-17,foscolo,misura,1538.9
2017-10-17,marco,misura,255.2
2017-10-17,serenella,misura,47.6
2017-10-18,foscolo,calpuff,0.2908792
2017-10-18,marco,calpuff,0.4733989
2017-10-18,serenella,calpuff,0.2679369
2017-10-18,foscolo,misura,273.9
2017-10-18,marco,misura,84.4
2017-10-18,serenella,misura,18.1
2017-10-19,foscolo,calpuff,0.1166854
2017-10-19,marco,calpuff,0.4251067
2017-10-19,serenella,calpuff,4.339969e-4
2017-10-19,foscolo,misura,4.4
2017-10-19,marco,misura,69.7
2017-10-19,serenella,misura,1.1
2017-10-20,foscolo,calpuff,0.3673305
2017-10-20,marco,calpuff,0.5805781
2017-10-20,serenella,calpuff,0.1365631
2017-10-20,foscolo,misura,209.4
2017-10-20,marco,misura,182.9
2017-10-20,serenella,misura,8.2
2017-10-21,foscolo,calpuff,0.1966751
2017-10-21,marco,calpuff,0.2941828
2017-10-21,serenella,calpuff,0.2031221
2017-10-21,foscolo,misura,23.8
2017-10-21,marco,misura,40.8
2017-10-21,serenella,misura,3.2
2017-10-22,foscolo,calpuff,0.02025516
2017-10-22,marco,calpuff,1.192819
2017-10-22,serenella,calpuff,0
2017-10-22,foscolo,misura,0.9
2017-10-22,marco,misura,354.5
2017-10-22,serenella,misura,0.5
2017-10-23,foscolo,calpuff,0.481396
2017-10-23,marco,calpuff,0.2255862
2017-10-23,serenella,calpuff,0.1395562
2017-10-23,foscolo,misura,290.3
2017-10-23,marco,misura,50
2017-10-23,serenella,misura,52.9
2017-10-24,foscolo,calpuff,0.3376811
2017-10-24,marco,calpuff,0.2993953
2017-10-24,serenella,calpuff,0.001129344
2017-10-24,foscolo,misura,37.6
2017-10-24,marco,misura,96.9
2017-10-24,serenella,misura,4.6
2017-10-25,foscolo,calpuff,0.2302342
2017-10-25,marco,calpuff,0.03519744
2017-10-25,serenella,calpuff,0.1860464
2017-10-25,foscolo,misura,8.9
2017-10-25,marco,misura,22.8
2017-10-25,serenella,misura,7.6
2017-10-26,foscolo,calpuff,0.3197708
2017-10-26,marco,calpuff,0.3380356
2017-10-26,serenella,calpuff,0.2195972
2017-10-26,foscolo,misura,54.3
2017-10-26,marco,misura,12.7
2017-10-26,serenella,misura,31.3
2017-10-27,foscolo,calpuff,0.1444586
2017-10-27,marco,calpuff,0.1708643
2017-10-27,serenella,calpuff,0.1065922
2017-10-27,foscolo,misura,23.5
2017-10-27,marco,misura,51.8
2017-10-27,serenella,misura,0.9
2017-10-28,foscolo,calpuff,0.2120241
2017-10-28,marco,calpuff,0.4383457
2017-10-28,serenella,calpuff,0.02099872
2017-10-28,foscolo,misura,11
2017-10-28,marco,misura,8.3
2017-10-28,serenella,misura,1.4
2017-10-29,foscolo,calpuff,0.3210119
2017-10-29,marco,calpuff,0.4031504
2017-10-29,serenella,calpuff,0.03902631
2017-10-29,foscolo,misura,195.2
2017-10-29,marco,misura,115.2
2017-10-29,serenella,misura,0.9
2017-10-30,foscolo,calpuff,0.2787634
2017-10-30,marco,calpuff,0.2243627
2017-10-30,serenella,calpuff,0.3634603
2017-10-30,foscolo,misura,26.4
2017-10-30,marco,misura,35.7
2017-10-30,serenella,misura,71.4
2017-10-31,foscolo,calpuff,0.559768
2017-10-31,marco,calpuff,0.8087853
2017-10-31,serenella,calpuff,0.017931
2017-10-31,foscolo,misura,1.9
2017-10-31,marco,misura,30.6
2017-10-31,serenella,misura,2.4
2017-11-01,foscolo,calpuff,0.2386056
2017-11-01,marco,calpuff,0.1409392
2017-11-01,serenella,calpuff,0.1918816
2017-11-01,foscolo,misura,77.8
2017-11-01,marco,misura,14.7
2017-11-01,serenella,misura,2.9
2017-11-02,foscolo,calpuff,0.2595132
2017-11-02,marco,calpuff,0.2409472
2017-11-02,serenella,calpuff,0.2101638
2017-11-02,foscolo,misura,3.4
2017-11-02,marco,misura,10.3
2017-11-02,serenella,misura,1.4
2017-11-03,foscolo,calpuff,0.2932816
2017-11-03,marco,calpuff,0.3391414
2017-11-03,serenella,calpuff,0.09410461
2017-11-03,foscolo,misura,52.2
2017-11-03,marco,misura,57
2017-11-03,serenella,misura,6.4
2017-11-04,foscolo,calpuff,0.09930219
2017-11-04,marco,calpuff,0.3797533
2017-11-04,serenella,calpuff,0.1394528
2017-11-04,foscolo,misura,7.5
2017-11-04,marco,misura,5.6
2017-11-04,serenella,misura,0.7
2017-11-05,foscolo,calpuff,0.421016
2017-11-05,marco,calpuff,0.1040561
2017-11-05,serenella,calpuff,0.1402047
2017-11-05,foscolo,misura,59.5
2017-11-05,marco,misura,0.8
2017-11-05,serenella,misura,0.7
2017-11-06,foscolo,calpuff,0.1468195
2017-11-06,marco,calpuff,0.3481473
2017-11-06,serenella,calpuff,0.07537207
2017-11-06,foscolo,misura,2.7
2017-11-06,marco,misura,894.9
2017-11-06,serenella,misura,0.3
2017-11-07,foscolo,calpuff,0.1448564
2017-11-07,marco,calpuff,0.7867451
2017-11-07,serenella,calpuff,0.0559969
2017-11-07,foscolo,misura,1.4
2017-11-07,marco,misura,151.2
2017-11-07,serenella,misura,0.2
2017-11-08,foscolo,calpuff,0.3143979
2017-11-08,marco,calpuff,0.1713559
2017-11-08,serenella,calpuff,0.08938064
2017-11-08,foscolo,misura,46.6
2017-11-08,marco,misura,140.9
2017-11-08,serenella,misura,0.8
2017-11-09,foscolo,calpuff,0.3554996
2017-11-09,marco,calpuff,0.4460092
2017-11-09,serenella,calpuff,0.04016992
2017-11-09,foscolo,misura,1.8
2017-11-09,marco,misura,202.5
2017-11-09,serenella,misura,25.5
2017-11-10,foscolo,calpuff,0.2629044
2017-11-10,marco,calpuff,0.1581419
2017-11-10,serenella,calpuff,0.2235399
2017-11-10,foscolo,misura,58.2
2017-11-10,marco,misura,260.2
2017-11-10,serenella,misura,2.3
2017-11-11,foscolo,calpuff,0.349817
2017-11-11,marco,calpuff,0.3940877
2017-11-11,serenella,calpuff,0.1744467
2017-11-11,foscolo,misura,8.7
2017-11-11,marco,misura,10.4
2017-11-11,serenella,misura,2.4
2017-11-12,foscolo,calpuff,0.3551008
2017-11-12,marco,calpuff,0.6358217
2017-11-12,serenella,calpuff,0.01142409
2017-11-12,foscolo,misura,9.9
2017-11-12,marco,misura,458.8
2017-11-12,serenella,misura,1.7
2017-11-13,foscolo,calpuff,0.08634009
2017-11-13,marco,calpuff,0.6851082
2017-11-13,serenella,calpuff,0.129574
2017-11-13,foscolo,misura,91.7
2017-11-13,marco,misura,63.3
2017-11-13,serenella,misura,35.1
2017-11-14,foscolo,calpuff,0.2137706
2017-11-14,marco,calpuff,0.5864209
2017-11-14,serenella,calpuff,0.1530506
2017-11-14,foscolo,misura,57.9
2017-11-14,marco,misura,687.1
2017-11-14,serenella,misura,0.1
2017-11-15,foscolo,calpuff,0.261157
2017-11-15,marco,calpuff,0.8817046
2017-11-15,serenella,calpuff,0.1801855
2017-11-15,foscolo,misura,124
2017-11-15,marco,misura,2146.6
2017-11-15,serenella,misura,12.4
2017-11-16,foscolo,calpuff,0.3513093
2017-11-16,marco,calpuff,0.3250307
2017-11-16,serenella,calpuff,0.08991133
2017-11-16,foscolo,misura,150.1
2017-11-16,marco,misura,275.2
2017-11-16,serenella,misura,0.4
2017-11-17,foscolo,calpuff,0.3120348
2017-11-17,marco,calpuff,0.7162567
2017-11-17,serenella,calpuff,0.06862582
2017-11-17,foscolo,misura,13.1
2017-11-17,marco,misura,323.1
2017-11-17,serenella,misura,0.8
2017-11-18,foscolo,calpuff,0.06034138
2017-11-18,marco,calpuff,0.3661941
2017-11-18,serenella,calpuff,0.01667167
2017-11-18,foscolo,misura,4.2
2017-11-18,marco,misura,16.1
2017-11-18,serenella,misura,0.3
2017-11-19,foscolo,calpuff,0.2159892
2017-11-19,marco,calpuff,0.2875722
2017-11-19,serenella,calpuff,0.1188202
2017-11-19,foscolo,misura,4.2
2017-11-19,marco,misura,37.6
2017-11-19,serenella,misura,0.8
2017-11-20,foscolo,calpuff,0.09395834
2017-11-20,marco,calpuff,0.1653023
2017-11-20,serenella,calpuff,0.212695
2017-11-20,foscolo,misura,NA
2017-11-20,marco,misura,247.5
2017-11-20,serenella,misura,3.6
2017-11-21,foscolo,calpuff,0.2573602
2017-11-21,marco,calpuff,0.1194193
2017-11-21,serenella,calpuff,0.01646769
2017-11-21,foscolo,misura,NA
2017-11-21,marco,misura,62.1
2017-11-21,serenella,misura,1.2
2017-11-22,foscolo,calpuff,0.512735
2017-11-22,marco,calpuff,0.3497702
2017-11-22,serenella,calpuff,0.1255655
2017-11-22,foscolo,misura,NA
2017-11-22,marco,misura,24.9
2017-11-22,serenella,misura,13.6
2017-11-23,foscolo,calpuff,0.3391507
2017-11-23,marco,calpuff,0.2149586
2017-11-23,serenella,calpuff,0.005710605
2017-11-23,foscolo,misura,27.4
2017-11-23,marco,misura,121.1
2017-11-23,serenella,misura,23.3
2017-11-24,foscolo,calpuff,0.3879518
2017-11-24,marco,calpuff,0.1988792
2017-11-24,serenella,calpuff,0.05139343
2017-11-24,foscolo,misura,224.7
2017-11-24,marco,misura,142.4
2017-11-24,serenella,misura,0.8
2017-11-25,foscolo,calpuff,0.333834
2017-11-25,marco,calpuff,1.016113
2017-11-25,serenella,calpuff,0.001528427
2017-11-25,foscolo,misura,100.2
2017-11-25,marco,misura,58.1
2017-11-25,serenella,misura,0.7
2017-11-26,foscolo,calpuff,0.07089023
2017-11-26,marco,calpuff,0.553341
2017-11-26,serenella,calpuff,0.01439282
2017-11-26,foscolo,misura,1.3
2017-11-26,marco,misura,123.4
2017-11-26,serenella,misura,0.3
2017-11-27,foscolo,calpuff,0.361046
2017-11-27,marco,calpuff,0.097371
2017-11-27,serenella,calpuff,0.03988481
2017-11-27,foscolo,misura,37.3
2017-11-27,marco,misura,26.5
2017-11-27,serenella,misura,3.3
2017-11-28,foscolo,calpuff,0.1007391
2017-11-28,marco,calpuff,0.3266642
2017-11-28,serenella,calpuff,0.006579393
2017-11-28,foscolo,misura,1.5
2017-11-28,marco,misura,485.3
2017-11-28,serenella,misura,0.8
2017-11-29,foscolo,calpuff,0.04609221
2017-11-29,marco,calpuff,0.4310342
2017-11-29,serenella,calpuff,2.533383e-6
2017-11-29,foscolo,misura,1.4
2017-11-29,marco,misura,405.2
2017-11-29,serenella,misura,0.2
2017-11-30,foscolo,calpuff,0.0793974
2017-11-30,marco,calpuff,0.1816336
2017-11-30,serenella,calpuff,0.005957283
2017-11-30,foscolo,misura,4.4
2017-11-30,marco,misura,44.4
2017-11-30,serenella,misura,1.3
2017-12-01,foscolo,calpuff,0.1415964
2017-12-01,marco,calpuff,0.6570829
2017-12-01,serenella,calpuff,0.03386144
2017-12-01,foscolo,misura,0.8
2017-12-01,marco,misura,161
2017-12-01,serenella,misura,0.1
2017-12-02,foscolo,calpuff,0.6064711
2017-12-02,marco,calpuff,0.5490451
2017-12-02,serenella,calpuff,0.0294544
2017-12-02,foscolo,misura,13.9
